TIME(s);RPM(r/min);TPS(%);MAP(kPa);CLT(°C);IAT(°C);AOut(V);AccVoltage(V)
0,00;0;0;82;96;31;0,00;12,86;
0,41;1190;0;16;95;28;0,00;15,29;
0,44;1190;0;16;95;28;0,00;15,29;
0,47;1190;0;15;92;28;0,00;15,29;
0,50;1231;0;16;95;28;0,00;15,29;
0,53;1231;0;16;95;28;0,00;15,29;
0,57;1231;0;15;92;28;0,00;15,29;
0,60;1272;0;16;95;28;0,00;15,29;
0,63;1272;0;16;95;28;0,00;15,29;
0,66;1303;0;14;92;28;0,00;15,29;
0,69;1303;0;15;95;28;0,00;15,29;
0,72;1303;0;14;95;28;0,00;15,29;
0,75;1310;0;14;95;28;0,00;15,29;
0,79;1310;0;16;95;28;0,00;15,29;
0,81;1310;0;15;95;28;0,00;15,29;
0,84;1286;0;13;92;28;0,00;15,29;
0,88;1286;0;15;95;28;0,00;15,29;
0,91;1286;0;13;92;28;0,00;15,29;
0,94;1286;0;13;92;28;0,00;15,29;
0,97;1242;0;15;95;28;0,00;15,29;
1,01;1242;0;16;95;28;0,00;15,29;
1,03;1242;0;16;95;28;0,00;15,29;
1,06;1187;0;15;95;28;0,00;15,29;
1,10;1187;0;16;95;28;0,00;15,29;
1,13;1187;0;16;95;28;0,00;15,29;
1,16;1155;0;16;92;28;0,00;15,29;
1,19;1155;0;16;95;28;0,00;15,29;
1,22;1155;0;16;95;28;0,00;15,29;
1,25;1123;0;16;95;28;0,00;15,29;
1,28;1123;0;17;92;28;0,00;15,29;
1,31;1123;0;18;95;28;0,00;15,29;
1,34;1123;0;19;95;28;0,00;15,29;
1,38;1093;0;17;95;28;0,00;15,29;
1,41;1093;0;17;92;28;0,00;15,29;
1,44;1093;0;16;95;28;0,00;15,29;
1,47;1117;0;18;95;28;0,00;15,29;
1,51;1117;0;17;95;28;0,00;15,29;
1,53;1117;0;18;92;28;0,00;15,29;
1,56;1117;0;18;95;28;0,00;15,29;
1,59;1134;0;16;95;28;0,00;15,29;
1,63;1134;0;17;92;28;0,00;15,29;
1,67;1134;0;19;92;28;0,00;15,29;
1,69;1152;0;18;95;28;0,00;15,29;
1,72;1152;0;16;92;28;0,00;15,29;
1,76;1152;0;16;95;28;0,00;15,29;
1,78;1164;0;16;92;28;0,00;15,29;
1,81;1164;0;17;95;28;0,00;15,29;
1,85;1164;0;16;95;28;0,00;15,29;
1,89;1164;0;16;95;28;0,00;15,29;
1,91;1187;0;16;95;28;0,00;15,29;
1,94;1187;0;16;92;28;0,00;15,29;
1,97;1187;0;16;95;28;0,00;15,29;
2,00;1208;0;16;95;28;0,00;15,29;
2,03;1208;0;15;95;28;0,00;15,29;
2,06;1208;0;16;95;28;0,00;15,29;
2,10;1223;0;15;95;28;0,00;15,29;
2,13;1223;0;15;92;28;0,00;15,29;
2,16;1223;0;16;95;28;0,00;15,29;
2,19;1225;0;16;92;28;0,00;15,29;
2,22;1225;0;15;92;28;0,00;15,29;
2,25;1225;0;15;95;28;0,00;15,29;
2,28;1218;0;16;92;28;0,00;15,29;
2,32;1218;0;16;92;28;0,00;15,29;
2,35;1218;0;15;92;28;0,00;15,29;
2,38;1202;0;15;92;28;0,00;15,29;
2,41;1202;0;16;92;28;0,00;15,29;
2,44;1202;0;16;92;28;0,00;15,29;
2,47;1202;0;15;92;28;0,00;15,29;
2,51;1187;0;16;92;28;0,00;15,29;
2,54;1187;0;16;92;28;0,00;15,29;
2,56;1187;0;16;92;28;0,00;15,29;
2,60;1166;0;16;92;28;0,00;15,29;
2,63;1166;0;15;92;28;0,00;15,29;
2,66;1166;0;16;92;28;0,00;15,29;
2,69;1150;0;16;92;28;0,00;15,29;
2,72;1150;0;17;92;28;0,00;15,29;
2,76;1150;0;17;92;28;0,00;15,29;
2,78;1150;0;16;92;28;0,00;15,29;
2,81;1142;0;16;92;28;0,00;15,29;
2,85;1142;0;16;92;28;0,00;15,29;
2,88;1142;0;17;92;28;0,00;15,29;
2,91;1124;0;17;92;28;0,00;15,29;
2,94;1124;0;16;95;28;0,00;15,29;
2,98;1124;0;16;92;28;0,00;15,29;
3,01;1124;0;16;92;28;0,00;15,29;
3,03;1113;0;16;92;28;0,00;15,29;
3,06;1113;0;17;92;28;0,00;15,29;
3,10;1113;0;18;92;28;0,00;15,29;
3,13;1127;0;16;92;28;0,00;15,29;
3,16;1127;0;17;92;28;0,00;15,29;
3,20;1127;0;18;92;28;0,00;15,29;
3,23;1141;0;18;92;28;0,00;15,29;
3,26;1141;0;18;92;28;0,00;15,29;
3,28;1141;0;16;92;28;0,00;15,29;
3,32;1141;0;16;92;28;0,00;15,29;
3,34;1157;0;16;92;28;0,00;15,29;
3,38;1157;0;16;92;28;0,00;15,29;
3,42;1157;0;17;92;28;0,00;15,29;
3,44;1176;0;16;95;28;0,00;15,29;
3,47;1176;0;16;90;28;0,00;15,29;
3,50;1176;0;17;92;28;0,00;15,29;
3,53;1188;0;17;92;28;0,00;15,29;
3,56;1188;0;16;92;28;0,00;15,29;
3,59;1188;0;16;92;28;0,00;15,29;
3,64;1198;0;16;92;28;0,00;15,29;
3,66;1198;0;17;92;28;0,00;15,29;
3,69;1198;0;16;95;28;0,00;15,29;
3,72;1212;0;15;92;28;0,00;15,29;
3,75;1212;0;16;92;28;0,00;15,29;
3,78;1212;0;16;92;28;0,00;15,29;
3,81;1217;0;15;92;28;0,00;15,29;
3,85;1217;0;15;92;28;0,00;15,29;
3,88;1217;0;17;92;28;0,00;15,29;
3,91;1217;0;16;92;28;0,00;15,29;
3,94;1193;0;15;95;28;0,00;15,29;
3,97;1193;0;16;92;28;0,00;15,29;
4,01;1193;0;16;92;28;0,00;15,29;
4,03;1166;0;16;92;28;0,00;15,29;
4,07;1166;0;16;92;28;0,00;15,29;
4,10;1166;0;16;95;28;0,00;15,29;
4,13;1160;0;16;92;28;0,00;15,29;
4,16;1160;0;16;95;28;0,00;15,29;
4,19;1160;0;16;92;28;0,00;15,29;
4,22;1160;0;16;92;28;0,00;15,29;
4,25;1155;0;16;92;28;0,00;15,29;
4,29;1155;0;16;95;28;0,00;15,29;
4,31;1155;0;16;92;28;0,00;15,29;
4,35;1149;0;17;92;28;0,00;15,29;
4,38;1149;0;16;92;28;0,00;15,29;
4,41;1149;0;16;92;28;0,00;15,29;
4,44;1149;0;16;92;28;0,00;15,29;
4,47;1149;0;16;92;28;0,00;15,29;
4,52;1149;0;17;95;28;0,00;15,29;
4,54;1149;0;17;92;28;0,00;15,29;
4,56;1145;0;16;92;28;0,00;15,29;
4,60;1145;0;16;92;28;0,00;15,29;
4,63;1145;0;17;92;28;0,00;15,29;
4,66;1150;0;17;95;28;0,00;15,29;
4,69;1150;0;16;92;28;0,00;15,29;
4,73;1150;0;16;92;28;0,00;15,29;
4,76;1159;0;16;92;28;0,00;15,29;
4,78;1159;0;16;92;28;0,00;15,29;
4,81;1159;0;17;92;28;0,00;15,29;
4,85;1159;0;16;92;28;0,00;15,29;
4,88;1172;0;16;95;28;0,00;15,29;
4,91;1172;0;17;95;28;0,00;15,29;
4,95;1172;0;17;92;28;0,00;15,29;
4,97;1184;0;16;92;28;0,00;15,29;
5,00;1184;0;16;95;28;0,00;15,29;
5,03;1184;0;15;95;28;0,00;15,29;
5,06;1192;0;17;92;28;0,00;15,29;
5,10;1192;0;16;92;28;0,00;15,29;
5,13;1192;0;16;92;28;0,00;15,29;
5,17;1203;0;15;95;28;0,00;15,29;
5,19;1203;0;17;92;28;0,00;15,29;
5,22;1203;0;16;95;28;0,00;15,29;
5,25;1201;0;15;95;28;0,00;15,29;
5,29;1201;0;15;92;28;0,00;15,29;
5,31;1201;0;16;92;28;0,00;15,29;
5,35;1200;0;15;92;28;0,00;15,29;
5,39;1200;0;15;92;28;0,00;15,29;
5,41;1200;0;16;95;28;0,00;15,29;
5,44;1200;0;17;92;28;0,00;15,29;
5,47;1192;0;16;92;28;0,00;15,29;
5,50;1192;0;15;92;28;0,00;15,29;
5,53;1192;0;15;92;28;0,00;15,29;
5,56;1168;0;16;92;28;0,00;15,29;
5,60;1168;0;16;95;28;0,00;15,29;
5,63;1168;0;16;95;28;0,00;15,29;
5,66;1168;0;16;92;28;0,00;15,29;
5,69;1155;0;16;95;28;0,00;15,29;
5,72;1155;0;16;95;28;0,00;15,29;
5,75;1155;0;17;95;28;0,00;15,29;
5,78;1150;0;16;95;28;0,00;15,29;
